,Player,Team,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,Season,SR_Range
320,RG Sharma,INDIA,10,10,1,696,171*,77.33,690,100.86,3,2,0,62,22,2015/16,> 100
321,Q de Kock,SA,10,10,1,644,138*,71.55,614,104.88,4,0,0,81,13,2015/16,> 100
322,V Kohli,INDIA,10,10,0,626,138,62.6,665,94.13,3,3,0,43,10,2015/16,< 100
323,MJ Guptill,NZ,10,10,1,604,102,67.11,517,116.82,1,5,0,57,31,2015/16,> 100
324,AB de Villiers,SA,10,10,3,576,119,82.28,492,117.07,4,1,0,40,23,2015/16,> 100
325,AD Hales,ENG,9,9,0,554,112,61.55,630,87.93,2,4,0,55,6,2015/16,< 90
326,JE Root,ENG,9,9,0,496,125,55.11,553,89.69,2,3,1,37,9,2015/16,< 90
327,F du Plessis,SA,10,10,2,491,133*,61.37,505,97.22,1,4,1,46,10,2015/16,< 100
328,E Chigumbura,ZIM,19,18,2,437,67,27.31,642,68.06,0,1,1,25,7,2015/16,< 70
329,Sikandar Raza,ZIM,19,18,2,419,86,26.18,536,78.17,0,3,0,26,7,2015/16,< 80
330,S Dhawan,INDIA,10,10,0,413,126,41.3,451,91.57,1,3,0,51,5,2015/16,< 100
331,Mohammad Shahzad,AFG,10,10,1,413,131*,45.88,432,95.6,1,1,0,44,14,2015/16,< 100
332,CJ Chibhabha,ZIM,18,18,0,404,90,22.44,591,68.35,0,3,2,38,3,2015/16,< 70
333,SC Williams,ZIM,12,12,0,397,102,33.08,516,76.93,1,2,0,30,6,2015/16,< 80
334,AM Rahane,INDIA,9,8,0,388,89,48.5,401,96.75,0,5,0,34,5,2015/16,< 100
335,CR Ervine,ZIM,12,12,2,365,101*,36.5,527,69.25,1,2,0,36,3,2015/16,< 70
336,SPD Smith,AUS,8,8,0,356,149,44.5,357,99.71,1,1,0,31,5,2015/16,< 100
337,Mohammad Hafeez,PAK,9,9,1,352,102*,44.0,437,80.54,1,1,1,32,10,2015/16,< 90
338,DA Warner,AUS,6,6,0,346,122,57.66,319,108.46,1,2,0,35,8,2015/16,> 100
339,R Mutumbami,ZIM,17,16,1,342,74,22.8,455,75.16,0,2,2,29,10,2015/16,< 80
340,JC Buttler,ENG,9,9,3,331,116*,55.16,226,146.46,2,0,2,28,17,2015/16,> 100
341,Noor Ali Zadran,AFG,10,10,0,330,63,33.0,554,59.56,0,4,1,33,1,2015/16,< 70
342,Mohammad Nabi,AFG,10,10,0,310,116,31.0,369,84.01,1,1,2,16,9,2015/16,< 90
343,KS Williamson,NZ,8,8,0,304,84,38.0,370,82.16,0,4,1,30,4,2015/16,< 90
344,Shoaib Malik,PAK,8,8,2,300,96*,50.0,333,90.09,0,2,0,24,6,2015/16,< 100
345,MS Dhoni,INDIA,10,10,1,298,92*,33.11,299,99.66,0,1,1,21,8,2015/16,< 100
346,H Masakadza,ZIM,6,6,0,288,110,48.0,409,70.41,1,1,0,24,7,2015/16,< 80
347,HM Amla,SA,10,10,0,285,127,28.5,357,79.83,1,1,1,30,2,2015/16,< 80
348,Babar Azam,PAK,6,6,1,284,83,56.8,302,94.03,0,4,0,25,6,2015/16,< 100
349,MR Marsh,AUS,7,7,3,274,102*,68.5,271,101.1,1,1,1,28,4,2015/16,> 100
350,GJ Bailey,AUS,8,8,1,262,112,37.42,291,90.03,1,1,1,19,3,2015/16,< 100
351,JJ Roy,ENG,9,9,0,259,102,28.77,279,92.83,1,1,1,33,2,2015/16,< 100
352,Sarfraz Ahmed,PAK,9,7,0,238,64,34.0,280,85.0,0,1,0,20,0,2015/16,< 90
353,HM Nicholls,NZ,10,9,2,219,82,31.28,291,75.25,0,2,0,20,1,2015/16,< 80
354,EJG Morgan,ENG,9,9,0,218,76,24.22,282,77.3,0,1,0,22,4,2015/16,< 80
355,AJ Finch,AUS,5,5,0,213,107,42.6,228,93.42,1,1,0,21,3,2015/16,< 100
356,HDRL Thirimanne,SL,8,7,2,210,87*,42.0,279,75.26,0,2,0,16,2,2015/16,< 80
357,TM Dilshan,SL,8,7,0,209,91,29.85,181,115.46,0,2,0,25,3,2015/16,> 100
358,LM Jongwe,ZIM,19,16,3,209,46,16.07,243,86.0,0,0,2,19,4,2015/16,< 90
359,F Behardien,SA,10,9,4,202,38,40.4,223,90.58,0,0,0,10,5,2015/16,< 100
360,DA Warner,AUS,14,14,0,1100,179,78.57,967,113.75,6,1,0,123,18,2016/17,> 100
361,F du Plessis,SA,16,16,2,860,185,61.42,954,90.14,3,4,0,78,7,2016/17,< 100
362,Q de Kock,SA,16,16,0,805,178,50.31,700,115.0,2,6,1,87,20,2016/17,> 100
363,KS Williamson,NZ,18,18,1,695,118,40.88,842,82.54,1,4,0,71,7,2016/17,< 90
364,SPD Smith,AUS,14,14,2,667,164,55.58,738,90.37,3,3,3,60,8,2016/17,< 100
365,Babar Azam,PAK,8,8,0,642,123,80.25,706,90.93,4,1,0,48,7,2016/17,< 100
366,TM Head,AUS,16,15,1,613,128,43.78,643,95.33,1,5,1,59,12,2016/17,< 100
367,MJ Guptill,NZ,14,14,2,570,180*,47.5,552,103.26,2,2,3,63,21,2016/17,> 100
368,V Kohli,INDIA,8,8,2,543,154*,90.5,528,102.84,2,3,0,48,9,2016/17,> 100
369,Tamim Iqbal,BDESH,12,11,0,538,127,48.9,700,76.85,2,2,0,60,3,2016/17,< 80
370,Rahmat Shah,AFG,13,13,1,514,108*,42.83,713,72.08,1,5,2,30,9,2016/17,< 80
371,PR Stirling,IRE,9,9,0,456,99,50.66,523,87.18,0,4,0,45,12,2016/17,< 90
372,TWM Latham,NZ,16,16,1,450,137,30.0,531,84.74,1,2,3,39,7,2016/17,< 90
373,BKG Mendis,SL,13,12,1,443,102,40.27,523,84.7,1,4,0,48,7,2016/17,< 90
374,JDS Neesham,NZ,16,15,2,438,74,33.69,470,93.19,0,3,0,48,4,2016/17,< 100
375,LRPL Taylor,NZ,12,12,1,437,107,39.72,577,75.73,2,1,1,40,2,2016/17,< 80
376,HM Amla,SA,13,13,0,435,154,33.46,483,90.06,1,1,0,55,7,2016/17,< 100
377,AB de Villiers,SA,10,10,4,433,85,72.16,407,106.38,0,4,0,32,7,2016/17,> 100
378,JP Duminy,SA,16,15,2,409,82,31.46,481,85.03,0,3,0,38,4,2016/17,< 90
379,WTS Porterfield,IRE,9,9,0,405,119,45.0,469,86.35,2,1,1,43,2,2016/17,< 90
380,WU Tharanga,SL,13,11,1,403,119,40.3,494,81.57,1,2,0,47,9,2016/17,< 90
381,DA Miller,SA,11,10,4,401,118*,66.83,334,120.05,2,0,0,33,14,2016/17,> 100
382,Asghar Stanikzai,AFG,13,13,0,393,101,30.23,501,78.44,1,2,0,29,14,2016/17,< 80
383,Shakib Al Hasan,BDESH,12,11,0,378,79,34.36,407,92.87,0,4,0,34,4,2016/17,< 100
384,N Dickwella,SL,10,9,0,376,94,41.77,377,99.73,0,3,0,42,3,2016/17,< 100
385,Sharjeel Khan,PAK,8,8,0,366,79,45.75,313,116.93,0,4,0,46,11,2016/17,> 100
386,BA Stokes,ENG,9,9,2,358,101,51.14,321,111.52,1,3,1,19,17,2016/17,> 100
387,MS Dhoni,INDIA,8,8,0,357,134,44.62,434,82.25,1,1,0,26,12,2016/17,< 90
388,JJ Roy,ENG,8,8,0,356,82,44.5,340,104.7,0,4,0,47,5,2016/17,> 100
389,JE Root,ENG,5,5,1,327,101,81.75,390,83.84,1,3,0,25,1,2016/17,< 90
390,Imrul Kayes,BDESH,7,7,0,325,112,46.42,420,77.38,1,1,0,36,5,2016/17,< 80
391,MS Wade,AUS,14,12,2,325,100*,32.5,334,97.3,1,1,0,25,9,2016/17,< 100
392,KM Jadhav,INDIA,8,7,2,322,120,64.4,248,129.83,1,1,1,33,9,2016/17,> 100
393,DAS Gunaratne,SL,13,11,2,319,114*,35.44,364,87.63,1,0,0,31,4,2016/17,< 90
394,Mohammad Shahzad,AFG,13,13,0,318,64,24.46,343,92.71,0,2,1,43,6,2016/17,< 100
395,NT Broom,NZ,8,8,1,313,109*,44.71,339,92.33,1,2,1,24,7,2016/17,< 100
396,RR Rossouw,SA,5,5,1,311,122,77.75,310,100.32,1,2,0,40,3,2016/17,> 100
397,Mohammad Nabi,AFG,13,12,1,299,49,27.18,328,91.15,0,0,0,20,7,2016/17,< 100
398,EJG Morgan,ENG,6,6,0,298,107,49.66,294,101.36,2,0,0,21,12,2016/17,> 100
399,KC Brathwaite,WI,10,10,0,278,78,27.8,483,57.55,0,1,0,15,0,2016/17,< 70
